"date","AI.PA.Adjusted"
2008-02-06,27.1712779998779
2008-02-07,26.7886657714844
2008-02-08,26.9082279205322
2008-02-11,26.9261646270752
2008-02-12,27.512035369873
2008-02-13,27.4970893859863
2008-02-14,27.5000801086426
2008-02-15,27.7212772369385
2008-02-18,28.0022506713867
2008-02-19,28.4087829589844
2008-02-20,28.2294273376465
2008-02-21,28.1098670959473
2008-02-22,27.8737277984619
2008-02-25,28.6000862121582
2008-02-26,28.8780765533447
2008-02-27,28.9498176574707
2008-02-28,28.5851383209229
2008-02-29,28.0829601287842
2008-03-03,27.8527946472168
2008-03-04,27.6166534423828
2008-03-05,28.2294273376465
2008-03-06,28.0710029602051
2008-03-07,27.5449161529541
2008-03-10,27.2280731201172
2008-03-11,27.8169326782227
2008-03-12,27.9335098266602
2008-03-13,27.4612216949463
2008-03-14,27.541934967041
2008-03-17,27.5180110931396
2008-03-18,28.2085113525391
2008-03-19,28.0381278991699
2008-03-20,27.6854076385498
2008-03-25,28.5791625976562
2008-03-26,28.4476356506348
2008-03-27,28.740571975708
2008-03-28,28.4177417755127
2008-03-31,28.8661212921143
2008-04-01,29.3712768554688
2008-04-02,29.5715560913086
2008-04-03,29.6941108703613
2008-04-04,29.6074237823486
2008-04-07,29.7897624969482
2008-04-08,29.682149887085
2008-04-09,29.3055248260498
2008-04-10,29.2068767547607
2008-04-11,28.6538867950439
2008-04-14,28.4028015136719
2008-04-15,28.5163860321045
2008-04-16,28.8930168151855
2008-04-17,28.704704284668
2008-04-18,28.9677486419678
2008-04-21,29.4280757904053
2008-04-22,29.0335083007812
2008-04-23,29.2009048461914
2008-04-24,29.1142177581787
2008-04-25,28.6837749481201
2008-04-28,28.7644863128662
2008-04-29,28.5223636627197
2008-04-30,28.9109497070312
2008-05-02,28.8422050476074
2008-05-05,29.1740016937256
2008-05-06,29.0066089630127
2008-05-07,28.8063335418701
2008-05-08,29.1620407104492
2008-05-09,28.4625835418701
2008-05-12,28.8780765533447
2008-05-13,28.0919284820557
2008-05-14,28.9831066131592
2008-05-15,28.7871131896973
2008-05-16,28.9432945251465
2008-05-19,29.2097339630127
2008-05-20,28.915735244751
2008-05-21,28.9249248504639
2008-05-22,28.5911121368408
2008-05-23,28.2940521240234
2008-05-26,28.1317462921143
2008-05-27,28.0980529785156
2008-05-28,28.6370468139648
2008-05-29,28.7901725769043
2008-05-30,28.9341068267822
2008-06-02,28.8301315307617
2008-06-03,29.0488681793213
2008-06-04,29.110481262207
2008-06-05,29.0581111907959
2008-06-06,28.6606826782227
2008-06-09,28.9613723754883
2008-06-10,28.9817047119141
2008-06-11,28.5174236297607
2008-06-12,28.8393650054932
2008-06-13,29.178258895874
2008-06-16,29.0122013092041
2008-06-17,29.1003170013428
2008-06-18,28.8563175201416
2008-06-19,28.741096496582
2008-06-20,28.3208637237549
2008-06-23,28.4293174743652
2008-06-24,28.4665927886963
2008-06-25,29.059642791748
2008-06-26,28.5987606048584
2008-06-27,28.1954822540283
2008-06-30,28.4225368499756
2008-07-01,28.3988151550293
2008-07-02,28.276819229126
2008-07-03,28.7004337310791
2008-07-04,28.3683204650879
2008-07-07,28.5716533660889
2008-07-08,28.4055919647217
2008-07-09,28.5377635955811
2008-07-10,28.1683692932129
2008-07-11,27.6092109680176
2008-07-14,27.5041446685791
2008-07-15,27.5244846343994
2008-07-16,27.6905403137207
2008-07-17,27.9718132019043
2008-07-18,28.1615982055664
2008-07-21,28.3920402526855
2008-07-22,28.6970405578613
2008-07-23,28.7105941772461
2008-07-24,28.1277046203613
2008-07-25,28.6360416412354
2008-07-28,28.7715854644775
2008-07-29,28.5174236297607
2008-07-30,28.6733150482178
2008-07-31,28.5580921173096
2008-08-01,28.0260391235352
2008-08-04,28.0531539916992
2008-08-05,28.3683204650879
2008-08-06,28.4665927886963
2008-08-07,28.2361488342285
2008-08-08,28.1446475982666
2008-08-11,28.1175403594971
2008-08-12,28.0904197692871
2008-08-13,27.6702079772949
2008-08-14,27.9548683166504
2008-08-15,27.9413166046143
2008-08-18,28.1039810180664
2008-08-19,27.5854873657227
2008-08-20,27.7922077178955
2008-08-21,27.5583744049072
2008-08-22,27.887092590332
2008-08-25,27.8837127685547
2008-08-26,27.9413166046143
2008-08-27,27.870153427124
2008-08-28,28.0972061157227
2008-08-29,28.1310939788818
2008-09-01,28.0904197692871
2008-09-02,28.5801219940186
